Date,State,Housing Inventory,Construction Costs,Land Availability,Interest Rates,Economic Conditions,Population Growth,Consumer Confidence,Demographic Trends,Location & Amenities,House Price ($),House Area (sqft)
2010-04-04,Georgia,175090,138806,Abundant,3.37,Moderate,1.37,Low,Millennial Buyers,"Suburban, Transport",486215,1817
2010-04-05,Colorado,93135,109088,Limited,3.02,Weak,1.46,Moderate,Millennial Buyers,"Urban, Good Schools",374873,2291
2010-04-06,Maine,81730,138758,Limited,4.0,Strong,0.86,Moderate,Millennial Buyers,"Urban, Good Schools",407365,1066
2010-04-07,North Carolina,141796,142668,Abundant,4.74,Moderate,0.6,High,Aging Population,"Urban, Good Schools",509136,1216
2010-04-08,Montana,132491,124026,Limited,5.7,Weak,1.8,Moderate,Millennial Buyers,"Urban, Good Schools",181338,3613
2010-04-09,Indiana,125738,153935,Abundant,3.45,Strong,1.21,Moderate,Millennial Buyers,"Urban, Good Schools",396029,1895
2010-04-10,Oklahoma,157834,161442,Abundant,3.98,Moderate,1.1,Low,Millennial Buyers,"Urban, Good Schools",376095,3450
2010-04-11,Louisiana,138033,163955,Abundant,5.66,Moderate,1.69,Moderate,Millennial Buyers,"Suburban, Transport",185286,1315
2010-04-12,Delaware,105322,179635,Limited,3.28,Strong,0.93,High,Aging Population,"Suburban, Transport",554312,2257
2010-04-13,Massachusetts,161485,107299,Limited,3.85,Moderate,0.56,Moderate,Millennial Buyers,"Suburban, Transport",598027,1362
2010-04-14,Pennsylvania,102225,139796,Abundant,3.72,Moderate,1.54,High,Aging Population,"Suburban, Transport",196443,1420
2010-04-15,Washington,62107,103827,Abundant,3.52,Strong,1.47,Low,Millennial Buyers,"Urban, Good Schools",701073,1471
2010-04-16,Nebraska,199890,111172,Limited,5.12,Strong,0.82,Low,Aging Population,"Urban, Good Schools",241584,2442
2010-04-17,Montana,133094,197194,Limited,5.63,Moderate,1.79,Moderate,Aging Population,"Suburban, Transport",758343,3178
2010-04-18,Georgia,55805,138353,Abundant,3.17,Weak,1.49,High,Aging Population,"Urban, Good Schools",503246,2396
2010-04-19,Michigan,58107,166317,Abundant,5.18,Strong,0.94,Moderate,Aging Population,"Urban, Good Schools",322248,1167
2010-04-20,Mississippi,149817,154415,Limited,3.4,Strong,1.76,Moderate,Millennial Buyers,"Urban, Good Schools",352252,2725
2010-04-21,Alaska,181186,161461,Abundant,3.97,Moderate,0.57,Low,Millennial Buyers,"Suburban, Transport",285482,2848
2010-04-22,Idaho,64296,156598,Limited,3.09,Weak,1.8,High,Aging Population,"Suburban, Transport",209198,1933
2010-04-23,Arkansas,64463,193285,Limited,5.92,Strong,1.52,Low,Millennial Buyers,"Urban, Good Schools",588974,1456
2010-04-24,Utah,190255,166355,Abundant,3.79,Moderate,1.15,High,Millennial Buyers,"Suburban, Transport",554289,1973
2010-04-25,Kansas,62060,133697,Limited,4.51,Moderate,0.64,Moderate,Millennial Buyers,"Urban, Good Schools",455472,3268
2010-04-26,North Dakota,82937,151439,Limited,5.09,Strong,1.8,Moderate,Millennial Buyers,"Suburban, Transport",396717,1635
2010-04-27,Connecticut,197719,109765,Abundant,5.58,Strong,1.15,Moderate,Aging Population,"Suburban, Transport",504919,3412
2010-04-28,Wyoming,93963,113350,Limited,5.19,Moderate,0.53,Low,Millennial Buyers,"Urban, Good Schools",735802,3019
2010-04-29,Georgia,114199,102347,Abundant,3.54,Strong,1.21,Low,Aging Population,"Suburban, Transport",268940,3446
2010-04-30,Vermont,61289,160836,Limited,5.9,Moderate,0.72,Moderate,Millennial Buyers,"Suburban, Transport",434467,1463
2010-05-01,Missouri,81469,165048,Limited,5.44,Strong,1.54,Low,Millennial Buyers,"Urban, Good Schools",483955,1285
2010-05-02,Illinois,103039,134435,Limited,3.5,Weak,1.84,Low,Aging Population,"Suburban, Transport",344653,2525
2010-05-03,California,128391,189651,Limited,3.23,Moderate,1.45,Moderate,Millennial Buyers,"Suburban, Transport",1357944,1858
2010-05-04,Virginia,144375,131703,Limited,5.09,Weak,1.97,High,Aging Population,"Suburban, Transport",626166,1934
2010-05-05,Arizona,191276,173850,Limited,5.01,Weak,0.66,Moderate,Millennial Buyers,"Urban, Good Schools",221534,2878
2010-05-06,Hawaii,114166,106887,Abundant,5.15,Weak,0.81,High,Aging Population,"Suburban, Transport",590378,3307
2010-05-07,Ohio,144417,132203,Limited,5.05,Strong,1.37,High,Aging Population,"Suburban, Transport",504461,3408
2010-05-08,Utah,165070,133641,Abundant,4.58,Weak,2.0,Moderate,Millennial Buyers,"Urban, Good Schools",223599,2682
2010-05-09,Missouri,134759,173962,Abundant,4.25,Weak,0.85,High,Millennial Buyers,"Urban, Good Schools",411245,1528
2010-05-10,Florida,94692,103844,Abundant,4.93,Strong,1.44,Moderate,Aging Population,"Suburban, Transport",457900,3934
2010-05-11,New Mexico,194730,151912,Abundant,5.29,Moderate,1.39,Low,Millennial Buyers,"Suburban, Transport",166304,3783
2010-05-12,West Virginia,191578,121727,Limited,3.31,Weak,1.34,High,Millennial Buyers,"Urban, Good Schools",230689,2068
2010-05-13,Oklahoma,124710,151239,Limited,5.16,Moderate,1.82,High,Millennial Buyers,"Urban, Good Schools",560059,1653
2010-05-14,Vermont,103552,138563,Limited,3.98,Moderate,0.75,High,Millennial Buyers,"Suburban, Transport",338684,1035
2010-05-15,Idaho,92713,119692,Abundant,3.41,Strong,1.37,High,Aging Population,"Suburban, Transport",345747,1405
2010-05-16,Idaho,188893,136054,Limited,4.43,Strong,1.98,Low,Aging Population,"Suburban, Transport",292669,3456
2010-05-17,Delaware,155336,166652,Limited,3.09,Strong,1.23,Moderate,Millennial Buyers,"Suburban, Transport",785295,2447
2010-05-18,North Carolina,51533,153996,Abundant,3.52,Moderate,0.83,High,Aging Population,"Suburban, Transport",355575,3567
2010-05-19,Massachusetts,133830,153825,Abundant,5.35,Moderate,1.76,Low,Millennial Buyers,"Suburban, Transport",796399,1042
2010-05-20,Wisconsin,161474,107244,Limited,5.43,Weak,1.53,Low,Millennial Buyers,"Suburban, Transport",643596,3530
2010-05-21,Kansas,51350,157345,Abundant,3.8,Weak,1.54,Moderate,Aging Population,"Suburban, Transport",630597,3241
2010-05-22,New Jersey,129803,102123,Limited,4.2,Strong,1.67,High,Aging Population,"Suburban, Transport",523985,2140
2010-05-23,Missouri,190338,152921,Abundant,4.03,Moderate,1.14,Low,Aging Population,"Urban, Good Schools",279241,1045
2010-05-24,Arkansas,106080,131251,Limited,3.04,Moderate,0.52,Low,Aging Population,"Urban, Good Schools",161477,1787
2010-05-25,Illinois,187078,152394,Abundant,5.82,Moderate,1.49,High,Aging Population,"Urban, Good Schools",264160,3538
2010-05-26,Tennessee,94404,130284,Abundant,4.33,Weak,1.61,Low,Millennial Buyers,"Urban, Good Schools",677988,1171
2010-05-27,Montana,79075,100730,Limited,5.83,Strong,0.5,Moderate,Millennial Buyers,"Suburban, Transport",315648,1867
2010-05-28,Connecticut,92231,183459,Limited,4.37,Moderate,1.17,Moderate,Millennial Buyers,"Suburban, Transport",184915,2959
2010-05-29,Utah,139664,104787,Abundant,4.33,Moderate,0.67,Moderate,Millennial Buyers,"Suburban, Transport",502354,2169
2010-05-30,Missouri,68191,137092,Abundant,4.01,Moderate,1.33,Moderate,Aging Population,"Suburban, Transport",708932,1062
2010-05-31,Mississippi,85124,100356,Abundant,4.25,Strong,1.13,Low,Millennial Buyers,"Urban, Good Schools",411844,1758
2010-06-01,Nebraska,174726,135108,Limited,3.73,Moderate,1.52,Low,Millennial Buyers,"Urban, Good Schools",668053,3074
2010-06-02,Arkansas,123513,160824,Limited,3.86,Weak,1.41,High,Millennial Buyers,"Suburban, Transport",184099,1652
2010-06-03,Nebraska,102736,112702,Limited,5.02,Weak,1.55,Low,Aging Population,"Urban, Good Schools",683765,1404
2010-06-04,Nebraska,121606,145507,Abundant,5.66,Weak,0.5,High,Millennial Buyers,"Suburban, Transport",458450,2126
2010-06-05,Michigan,181198,101584,Abundant,3.86,Strong,0.52,High,Aging Population,"Suburban, Transport",625515,3025
2010-06-06,Louisiana,120819,181422,Abundant,3.15,Moderate,1.03,Low,Aging Population,"Urban, Good Schools",506404,1919
2010-06-07,North Carolina,198426,142410,Abundant,4.32,Moderate,1.23,High,Aging Population,"Urban, Good Schools",303981,1782
2010-06-08,Maine,185898,135522,Abundant,5.73,Strong,0.69,High,Aging Population,"Urban, Good Schools",421513,2367
2010-06-09,Colorado,149337,160436,Limited,3.48,Moderate,0.6,High,Millennial Buyers,"Suburban, Transport",281560,1634
2010-06-10,Pennsylvania,198973,152963,Limited,4.11,Strong,0.87,High,Aging Population,"Suburban, Transport",766134,3123
2010-06-11,Delaware,88288,167879,Abundant,5.06,Weak,0.81,High,Aging Population,"Suburban, Transport",581331,2387
2010-06-12,Washington,134866,186667,Abundant,4.21,Weak,1.16,High,Aging Population,"Urban, Good Schools",183940,3506
2010-06-13,South Dakota,109500,106214,Limited,5.36,Weak,0.54,High,Millennial Buyers,"Suburban, Transport",390153,2167
2010-06-14,Delaware,80483,143066,Limited,5.44,Moderate,0.56,Low,Millennial Buyers,"Urban, Good Schools",735975,1418
2010-06-15,Kentucky,85038,192418,Abundant,4.2,Strong,1.29,Moderate,Millennial Buyers,"Suburban, Transport",693115,2386
2010-06-16,West Virginia,142746,169915,Abundant,3.27,Weak,0.65,Low,Aging Population,"Urban, Good Schools",308699,3927
2010-06-17,North Dakota,63596,132923,Limited,5.25,Moderate,0.94,Low,Aging Population,"Suburban, Transport",263027,1426
2010-06-18,Vermont,115462,196340,Limited,3.6,Moderate,1.67,Moderate,Aging Population,"Suburban, Transport",359358,3839
2010-06-19,Oregon,51597,184788,Abundant,4.53,Moderate,0.56,Moderate,Aging Population,"Urban, Good Schools",765598,3603
2010-06-20,Colorado,57480,130099,Limited,4.58,Weak,0.72,Moderate,Millennial Buyers,"Urban, Good Schools",716875,1866
2010-06-21,Mississippi,182485,196881,Abundant,3.65,Weak,0.55,High,Aging Population,"Suburban, Transport",440603,3101
2010-06-22,Tennessee,91743,149366,Abundant,3.6,Moderate,0.55,Low,Aging Population,"Suburban, Transport",502183,2302
2010-06-23,Nebraska,167572,129740,Limited,5.07,Moderate,0.97,Low,Millennial Buyers,"Suburban, Transport",793148,2302
2010-06-24,Idaho,183792,177897,Limited,3.8,Weak,0.83,High,Millennial Buyers,"Urban, Good Schools",484252,2115
2010-06-25,Oklahoma,193462,147082,Limited,4.36,Strong,1.19,Moderate,Aging Population,"Urban, Good Schools",760536,3297
2010-06-26,Missouri,156014,169506,Abundant,4.93,Strong,1.63,High,Millennial Buyers,"Suburban, Transport",234624,2103
2010-06-27,Nevada,140989,131293,Abundant,5.39,Weak,1.13,High,Millennial Buyers,"Urban, Good Schools",746398,2648
2010-06-28,Colorado,150627,166589,Abundant,5.82,Strong,0.61,Moderate,Millennial Buyers,"Urban, Good Schools",382616,1991
2010-06-29,New Hampshire,197264,198458,Limited,3.46,Moderate,1.13,Low,Millennial Buyers,"Suburban, Transport",182851,2394
2010-06-30,Minnesota,105232,124160,Limited,5.52,Moderate,1.43,Low,Aging Population,"Urban, Good Schools",296114,1657
2010-07-01,Virginia,146118,186902,Limited,3.68,Weak,0.82,High,Millennial Buyers,"Urban, Good Schools",237379,1902
2010-07-02,Illinois,75637,179002,Abundant,4.25,Moderate,1.33,Low,Millennial Buyers,"Suburban, Transport",679773,2550
2010-07-03,Nebraska,79872,199484,Abundant,3.03,Strong,1.37,Low,Aging Population,"Suburban, Transport",335295,2216
2010-07-04,Arkansas,171614,154881,Abundant,5.94,Strong,0.95,Low,Millennial Buyers,"Suburban, Transport",463549,1515
2010-07-05,New Hampshire,72917,178966,Abundant,3.89,Moderate,1.53,Moderate,Aging Population,"Urban, Good Schools",392927,2929
2010-07-06,Connecticut,132642,134669,Abundant,5.23,Moderate,1.64,Low,Aging Population,"Urban, Good Schools",498590,1896
2010-07-07,Massachusetts,99725,179227,Limited,5.56,Weak,1.22,High,Aging Population,"Urban, Good Schools",448006,1267
2010-07-08,New York,148670,151840,Limited,4.83,Weak,1.15,Low,Aging Population,"Urban, Good Schools",824066,1548
2010-07-09,Florida,64900,100134,Abundant,5.61,Weak,1.63,Moderate,Aging Population,"Urban, Good Schools",557587,3146
2010-07-10,South Carolina,156023,173017,Abundant,4.1,Strong,0.94,Moderate,Aging Population,"Urban, Good Schools",710546,3709
2010-07-11,Rhode Island,138502,134966,Abundant,4.63,Weak,1.37,High,Millennial Buyers,"Suburban, Transport",244319,1452
2010-07-12,Indiana,189220,172531,Limited,3.64,Weak,0.6,Low,Aging Population,"Suburban, Transport",196419,1414
2010-07-13,Utah,87422,103536,Abundant,3.76,Weak,1.05,High,Millennial Buyers,"Urban, Good Schools",525120,2371
2010-07-14,Idaho,189657,136705,Limited,5.19,Strong,0.77,High,Aging Population,"Urban, Good Schools",754304,2798
2010-07-15,Montana,93441,196027,Abundant,3.12,Weak,1.23,High,Aging Population,"Suburban, Transport",341120,2421
2010-07-16,Alabama,182182,197524,Limited,5.85,Strong,1.48,Low,Aging Population,"Suburban, Transport",467717,3663
2010-07-17,Oklahoma,73588,166321,Limited,5.48,Weak,0.96,Low,Millennial Buyers,"Urban, Good Schools",427732,1599
2010-07-18,Nebraska,152708,148038,Abundant,5.83,Strong,1.01,Low,Millennial Buyers,"Urban, Good Schools",293037,2542
2010-07-19,Oregon,85098,121667,Limited,3.43,Weak,0.72,High,Millennial Buyers,"Urban, Good Schools",533514,3440
2010-07-20,California,157778,147434,Limited,5.22,Moderate,1.7,High,Aging Population,"Urban, Good Schools",1297740,2153
2010-07-21,Alabama,119230,188524,Limited,5.98,Strong,1.21,Low,Aging Population,"Suburban, Transport",213735,1196
2010-07-22,Mississippi,104340,122861,Abundant,4.84,Moderate,1.0,High,Aging Population,"Suburban, Transport",264799,2290
2010-07-23,Montana,149249,168267,Abundant,5.61,Moderate,1.11,Moderate,Millennial Buyers,"Suburban, Transport",486877,2283
2010-07-24,California,146494,181353,Limited,3.23,Moderate,1.68,Low,Millennial Buyers,"Urban, Good Schools",1068003,3304
2010-07-25,Iowa,99242,130943,Abundant,4.93,Moderate,1.86,High,Millennial Buyers,"Urban, Good Schools",644904,2588
2010-07-26,Indiana,149234,166656,Abundant,3.84,Moderate,0.8,Moderate,Millennial Buyers,"Suburban, Transport",428267,3330
2010-07-27,Mississippi,141316,110261,Limited,4.99,Moderate,1.95,Low,Aging Population,"Urban, Good Schools",631556,1312
2010-07-28,Iowa,102521,125973,Abundant,3.7,Strong,0.92,Low,Millennial Buyers,"Suburban, Transport",443156,2145
2010-07-29,Kentucky,149529,124109,Limited,4.58,Moderate,1.2,High,Aging Population,"Suburban, Transport",634574,1439
2010-07-30,Tennessee,80371,130177,Abundant,5.11,Strong,1.63,High,Aging Population,"Urban, Good Schools",554552,1096
2010-07-31,Rhode Island,90968,104469,Limited,5.96,Weak,1.55,High,Millennial Buyers,"Suburban, Transport",348791,1045
2010-08-01,South Dakota,137757,130036,Limited,4.31,Moderate,1.11,Moderate,Aging Population,"Urban, Good Schools",211409,2124
2010-08-02,Oklahoma,116741,172468,Abundant,4.98,Moderate,1.13,High,Millennial Buyers,"Suburban, Transport",319239,2209
2010-08-03,Nevada,70912,116653,Limited,3.19,Strong,0.95,High,Millennial Buyers,"Suburban, Transport",764694,2794
2010-08-04,Washington,169566,166177,Limited,4.99,Moderate,0.56,High,Millennial Buyers,"Suburban, Transport",377205,2416
2010-08-05,Alabama,55637,121658,Limited,4.23,Strong,1.73,Low,Aging Population,"Suburban, Transport",357746,2180
2010-08-06,Illinois,139223,106603,Abundant,5.01,Moderate,1.99,High,Aging Population,"Urban, Good Schools",780402,1975
2010-08-07,Kansas,127967,139735,Limited,5.67,Moderate,1.84,High,Aging Population,"Suburban, Transport",558881,1903
2010-08-08,Missouri,53225,120676,Limited,5.52,Strong,1.3,Low,Millennial Buyers,"Urban, Good Schools",459771,1952
2010-08-09,Iowa,172904,101606,Limited,5.84,Weak,1.45,Low,Aging Population,"Suburban, Transport",208182,2941
