Date,State,Housing_Inventory,Construction_Costs,Land_Availability,Interest_Rates,Economic_Conditions,Population_Growth,Consumer_Confidence,Demographic_Trends,House_Price_($),House_Area_(sqft),Location,Amenities
2020-08-08,Arizona,145204,119240,Abundant,4.9,Strong,1.73,Low,Millennial Buyers,395967,1652,Suburban,Transport
2016-03-01,Wyoming,98652,123836,Abundant,5.94,Strong,1.06,Low,Millennial Buyers,716431,1980,Suburban,Transport
2010-07-31,Indiana,146355,103213,Abundant,4.24,Moderate,1.02,High,Millennial Buyers,151903,3337,Suburban,Transport
2020-12-11,Massachusetts,195534,115799,Limited,3.56,Weak,1.83,Low,Aging Population,466003,3821,Suburban,Transport
2011-11-11,New Mexico,183200,188230,Abundant,4.07,Moderate,0.69,High,Aging Population,769109,3810,Suburban,Transport
2011-07-20,Minnesota,172540,179143,Limited,3.35,Strong,1.14,Moderate,Millennial Buyers,570815,2702,Urban,Good Schools
2019-01-04,Washington,78947,154840,Abundant,4.35,Moderate,1.77,Low,Millennial Buyers,320446,1651,Urban,Good Schools
2021-12-03,Idaho,53670,129328,Abundant,3.9,Weak,1.39,Moderate,Aging Population,672030,2937,Suburban,Transport
2011-11-12,South Dakota,192766,164424,Abundant,5.08,Strong,1.1,Low,Millennial Buyers,720401,3473,Suburban,Transport
2010-06-30,Arkansas,95271,160643,Limited,3.15,Moderate,0.92,Low,Aging Population,460033,1371,Suburban,Transport
2021-09-19,South Carolina,165223,128385,Limited,4.76,Weak,1.47,Moderate,Millennial Buyers,503014,3383,Urban,Good Schools
2016-10-31,Colorado,84692,117579,Limited,4.28,Moderate,0.92,Moderate,Millennial Buyers,614990,3861,Urban,Good Schools
2016-05-05,Ohio,53945,123749,Limited,4.35,Strong,0.94,High,Aging Population,296161,2227,Suburban,Transport
2021-09-13,Illinois,56188,105056,Limited,4.1,Weak,0.52,Low,Aging Population,652784,3180,Suburban,Transport
2010-10-06,Utah,56793,123198,Limited,5.92,Strong,1.82,High,Millennial Buyers,193607,2359,Urban,Good Schools
2020-02-01,Wyoming,89816,179825,Abundant,3.98,Weak,0.96,Moderate,Aging Population,441426,2556,Urban,Good Schools
2023-01-15,West Virginia,89151,158937,Limited,5.51,Moderate,0.59,Low,Aging Population,479332,1450,Suburban,Transport
2011-03-09,Washington,124864,114640,Abundant,3.74,Weak,1.03,Low,Aging Population,356214,2660,Urban,Good Schools
2010-10-17,New York,89272,198830,Abundant,4.47,Strong,0.59,Moderate,Millennial Buyers,1117939,2212,Suburban,Transport
2012-10-24,Hawaii,144581,134332,Abundant,3.16,Moderate,1.24,Low,Aging Population,526826,2643,Suburban,Transport
2011-06-20,Maryland,197675,130387,Limited,3.89,Weak,0.82,Moderate,Millennial Buyers,226992,2863,Urban,Good Schools
2019-12-11,Alaska,125075,190799,Limited,5.31,Strong,0.89,Low,Millennial Buyers,233108,1858,Urban,Good Schools
2010-07-08,Utah,160090,144370,Abundant,5.85,Strong,1.12,Moderate,Millennial Buyers,693521,3964,Urban,Good Schools
2015-12-15,Oklahoma,179766,118544,Limited,3.15,Strong,1.51,High,Aging Population,180511,1484,Urban,Good Schools
2020-09-20,Arizona,66418,125130,Limited,5.32,Moderate,0.73,High,Millennial Buyers,602543,3144,Suburban,Transport
2015-02-06,Connecticut,163896,101909,Abundant,5.97,Weak,0.97,Moderate,Millennial Buyers,551806,1552,Urban,Good Schools
2010-09-28,New York,87927,193950,Limited,4.36,Strong,1.88,Low,Aging Population,757697,3701,Urban,Good Schools
2014-09-25,Georgia,90869,118938,Abundant,4.57,Strong,1.81,Low,Millennial Buyers,611244,2383,Urban,Good Schools
2021-02-27,Hawaii,107774,146894,Limited,4.62,Weak,1.33,Moderate,Aging Population,256775,3051,Urban,Good Schools
2015-11-28,Maryland,72887,125376,Limited,4.54,Strong,1.22,Low,Aging Population,172437,3361,Suburban,Transport
2020-10-06,Vermont,195895,186615,Abundant,4.84,Weak,1.1,High,Millennial Buyers,449963,2365,Urban,Good Schools
2010-04-22,North Carolina,122973,140188,Abundant,5.52,Weak,0.62,Low,Millennial Buyers,458208,1422,Urban,Good Schools
2016-07-12,Illinois,192772,100425,Limited,5.59,Weak,1.84,High,Millennial Buyers,641922,3775,Suburban,Transport
2010-08-09,Mississippi,189532,123511,Limited,4.04,Moderate,0.79,Moderate,Aging Population,213155,1708,Suburban,Transport
2011-09-20,New York,117272,191541,Limited,4.72,Moderate,1.81,Moderate,Millennial Buyers,1244284,3537,Suburban,Transport
2013-03-27,Nebraska,109337,130740,Limited,5.15,Strong,0.99,Moderate,Millennial Buyers,192498,3601,Suburban,Transport
2019-04-05,Texas,167565,123747,Abundant,5.76,Strong,1.13,Low,Aging Population,510480,1299,Suburban,Transport
2016-08-19,Kansas,132980,119589,Limited,3.98,Strong,1.99,High,Aging Population,680870,1014,Urban,Good Schools
2012-03-01,Iowa,172033,114682,Limited,4.1,Strong,1.06,Moderate,Aging Population,321921,2848,Urban,Good Schools
2021-09-15,New Mexico,173457,120819,Abundant,3.54,Weak,1.04,Low,Aging Population,612046,3386,Urban,Good Schools
2011-04-07,Virginia,93369,134620,Abundant,3.2,Strong,1.09,Moderate,Millennial Buyers,201671,3961,Urban,Good Schools
2022-01-20,Maine,175553,189106,Limited,4.01,Strong,0.63,High,Aging Population,764046,2355,Urban,Good Schools
2011-07-06,Idaho,56902,175701,Abundant,4.26,Weak,1.61,High,Millennial Buyers,798227,2353,Urban,Good Schools
2018-07-27,Florida,89849,138768,Limited,4.13,Weak,1.64,High,Millennial Buyers,351782,3379,Urban,Good Schools
2013-12-15,Oregon,69619,104453,Limited,4.33,Moderate,0.92,Low,Millennial Buyers,178354,3926,Suburban,Transport
2010-07-18,South Dakota,94839,189198,Abundant,4.88,Moderate,1.96,Low,Aging Population,449887,1757,Urban,Good Schools
2017-02-02,Georgia,180693,107765,Abundant,3.99,Strong,1.76,Low,Millennial Buyers,247531,2151,Suburban,Transport
2011-02-07,Pennsylvania,123773,193362,Limited,3.9,Weak,1.7,Moderate,Millennial Buyers,310034,2780,Urban,Good Schools
2020-11-03,Texas,59132,195794,Abundant,5.63,Moderate,0.62,Low,Aging Population,280825,3489,Urban,Good Schools
2021-06-21,Michigan,107698,106614,Limited,5.71,Weak,1.94,High,Aging Population,589733,3245,Suburban,Transport
2023-01-16,Massachusetts,56066,180366,Limited,4.0,Strong,1.24,Low,Millennial Buyers,283417,2428,Suburban,Transport
2015-09-27,South Dakota,173772,191413,Limited,4.39,Strong,0.73,High,Millennial Buyers,678948,2564,Suburban,Transport
2017-12-10,Michigan,184927,176455,Abundant,5.12,Weak,0.75,High,Millennial Buyers,775797,3600,Suburban,Transport
2022-03-21,New Mexico,169372,199437,Abundant,3.68,Strong,1.39,High,Millennial Buyers,248872,3313,Urban,Good Schools
2011-10-13,Arizona,81910,115373,Limited,4.21,Strong,0.62,Low,Aging Population,730037,3280,Suburban,Transport
2011-12-10,Maryland,97060,125776,Abundant,3.83,Weak,1.56,Low,Aging Population,705301,1506,Urban,Good Schools
2014-01-20,Iowa,181879,149742,Abundant,5.28,Weak,1.32,Moderate,Aging Population,790521,1842,Urban,Good Schools
2022-02-01,Mississippi,110510,152943,Abundant,4.28,Moderate,1.8,Moderate,Aging Population,650902,2998,Suburban,Transport
2018-05-24,Louisiana,55708,178109,Abundant,3.15,Moderate,1.38,Moderate,Aging Population,624540,2155,Urban,Good Schools
2016-07-23,Connecticut,56660,112924,Abundant,5.35,Weak,1.32,Low,Millennial Buyers,711991,1055,Suburban,Transport
2014-11-05,Georgia,51324,174647,Limited,3.81,Weak,1.96,Low,Aging Population,196518,2265,Urban,Good Schools
2010-11-11,Connecticut,73001,187176,Abundant,4.77,Weak,0.7,High,Aging Population,305316,1020,Urban,Good Schools
2020-04-19,Maine,50222,119422,Limited,4.73,Weak,1.08,High,Aging Population,171588,3669,Suburban,Transport
2023-06-11,North Carolina,131142,116115,Limited,4.19,Strong,1.07,Moderate,Aging Population,666331,3856,Urban,Good Schools
2010-04-24,Iowa,136717,117257,Abundant,5.25,Moderate,1.82,Moderate,Millennial Buyers,529234,2304,Suburban,Transport
2012-08-18,Hawaii,156745,169918,Abundant,5.48,Strong,1.16,Low,Aging Population,189641,1209,Suburban,Transport
2017-12-20,Alabama,78129,146844,Abundant,4.32,Weak,0.62,High,Aging Population,783638,1372,Suburban,Transport
2019-04-29,South Dakota,137560,175455,Abundant,3.75,Weak,0.93,Low,Millennial Buyers,586688,3880,Suburban,Transport
2014-06-12,Rhode Island,111435,154780,Abundant,4.63,Moderate,1.51,Low,Aging Population,561053,1169,Urban,Good Schools
2019-02-05,North Carolina,130844,105034,Abundant,5.24,Strong,1.34,Low,Aging Population,234636,2162,Urban,Good Schools
2010-01-07,Vermont,81340,172546,Limited,3.8,Weak,1.21,Moderate,Aging Population,652993,3840,Suburban,Transport
2014-12-24,New Mexico,129836,145944,Limited,3.9,Moderate,1.15,Moderate,Millennial Buyers,475734,1915,Suburban,Transport
2018-09-30,Michigan,111626,105009,Limited,3.8,Strong,0.93,Low,Aging Population,351731,3169,Suburban,Transport
2018-03-27,Oklahoma,147522,146559,Limited,3.96,Weak,1.12,High,Aging Population,438940,3277,Suburban,Transport
2019-05-08,Colorado,191711,132816,Limited,5.93,Moderate,1.8,High,Aging Population,170258,3440,Suburban,Transport
2022-05-26,Colorado,104624,132078,Abundant,4.88,Weak,0.82,Low,Millennial Buyers,683953,3387,Urban,Good Schools
2015-03-13,New Mexico,196477,139233,Limited,4.52,Moderate,0.83,Moderate,Aging Population,456507,2468,Urban,Good Schools
2015-04-03,Arkansas,62092,190327,Limited,3.25,Strong,0.85,High,Aging Population,323083,1134,Urban,Good Schools
2013-06-24,Oregon,79840,163159,Abundant,5.52,Moderate,1.42,Low,Millennial Buyers,676552,2554,Suburban,Transport
2021-06-08,New Mexico,124752,143933,Abundant,3.36,Strong,1.28,Low,Millennial Buyers,724576,1526,Suburban,Transport
2023-08-03,Alaska,161671,109662,Abundant,4.55,Strong,0.58,Low,Millennial Buyers,461050,2188,Urban,Good Schools
2023-05-16,Connecticut,184002,132756,Limited,4.51,Weak,1.22,High,Aging Population,633453,3550,Urban,Good Schools
2021-03-18,Massachusetts,93058,123453,Abundant,3.99,Weak,0.73,Low,Aging Population,209997,2604,Suburban,Transport
2018-08-26,New Mexico,146346,195719,Abundant,5.68,Strong,1.55,Moderate,Aging Population,289630,3291,Suburban,Transport
2014-12-19,New Jersey,175119,127999,Limited,5.64,Weak,1.93,Low,Millennial Buyers,388274,2688,Suburban,Transport
2016-08-23,Nebraska,51413,121566,Limited,3.69,Strong,0.59,Low,Millennial Buyers,494323,1417,Suburban,Transport
2020-10-25,West Virginia,166169,165075,Limited,4.32,Weak,1.19,High,Aging Population,446413,3641,Suburban,Transport
2022-02-15,New York,186559,103463,Abundant,3.46,Weak,1.97,Low,Millennial Buyers,1409037,3807,Urban,Good Schools
2015-11-13,Maryland,125251,168577,Abundant,4.29,Strong,1.32,Low,Millennial Buyers,660696,2413,Suburban,Transport
2014-06-15,North Carolina,106554,175192,Limited,5.76,Weak,0.69,Low,Millennial Buyers,641264,3539,Suburban,Transport
2012-02-29,Minnesota,186372,168862,Limited,4.99,Strong,1.58,High,Aging Population,547064,1019,Urban,Good Schools
2020-05-14,West Virginia,65584,154357,Abundant,3.53,Moderate,1.34,High,Millennial Buyers,710226,2703,Urban,Good Schools
2015-02-08,Florida,156443,169070,Limited,3.7,Weak,0.54,Low,Millennial Buyers,285706,3898,Suburban,Transport
2017-11-05,Pennsylvania,158730,198391,Limited,5.4,Strong,1.84,Low,Millennial Buyers,226095,1669,Urban,Good Schools
2012-05-21,Kentucky,53603,108624,Limited,4.57,Strong,1.65,Low,Millennial Buyers,798530,3627,Urban,Good Schools
2018-12-16,Tennessee,175250,189361,Limited,4.35,Strong,0.57,Moderate,Aging Population,676835,3330,Urban,Good Schools
2020-06-30,Kansas,92625,144109,Abundant,3.13,Moderate,1.3,Moderate,Aging Population,150200,3877,Suburban,Transport
2010-03-15,North Dakota,79020,184216,Limited,4.15,Weak,1.32,Low,Aging Population,287388,2863,Suburban,Transport
2014-10-19,Maryland,188998,100991,Abundant,5.18,Moderate,0.75,High,Aging Population,436143,3405,Urban,Good Schools
2013-11-22,Montana,189970,119078,Limited,3.67,Moderate,1.68,High,Aging Population,428282,1255,Urban,Good Schools
2021-07-23,New Jersey,123971,135714,Abundant,5.12,Strong,1.65,Low,Millennial Buyers,189538,1881,Suburban,Transport
2022-11-07,Connecticut,198279,147456,Limited,3.33,Weak,1.96,Low,Millennial Buyers,634169,2612,Suburban,Transport
2021-12-18,North Dakota,101748,107849,Abundant,5.27,Moderate,0.63,High,Millennial Buyers,435845,3886,Urban,Good Schools
2022-07-12,Georgia,128199,176520,Abundant,3.69,Moderate,1.37,Low,Aging Population,255626,2483,Suburban,Transport
2020-06-06,Pennsylvania,145512,124651,Abundant,3.29,Weak,1.18,Moderate,Millennial Buyers,475589,1459,Suburban,Transport
2016-02-23,Ohio,174924,131833,Limited,3.31,Weak,0.58,Low,Millennial Buyers,538445,2523,Urban,Good Schools
2018-05-06,Louisiana,152928,191301,Abundant,5.76,Strong,0.64,Low,Millennial Buyers,219588,3586,Suburban,Transport
2016-09-11,Nevada,132463,173143,Abundant,5.98,Weak,0.53,High,Aging Population,519872,3407,Suburban,Transport
2011-05-10,Vermont,84910,148627,Abundant,4.32,Strong,1.92,Low,Millennial Buyers,372004,1854,Suburban,Transport
2018-07-28,South Dakota,99614,193732,Limited,5.39,Weak,1.06,Low,Millennial Buyers,619605,3435,Urban,Good Schools
2021-10-31,Texas,194110,157171,Limited,4.75,Weak,0.7,High,Aging Population,271279,3034,Suburban,Transport
2022-01-15,Idaho,58913,195354,Abundant,5.04,Strong,1.36,Moderate,Aging Population,623207,1252,Suburban,Transport
2013-03-10,Minnesota,103415,174679,Abundant,5.62,Weak,1.72,Low,Millennial Buyers,163867,1002,Suburban,Transport
2020-03-23,Wisconsin,170428,107216,Limited,3.5,Strong,0.78,High,Millennial Buyers,633336,3308,Suburban,Transport
2014-09-27,Maryland,55900,190292,Abundant,3.87,Strong,0.91,High,Aging Population,706981,1489,Suburban,Transport
2023-03-06,Maine,91314,186781,Limited,4.3,Strong,1.12,Low,Millennial Buyers,337872,3272,Urban,Good Schools
2016-07-30,Arizona,61043,184525,Abundant,5.79,Strong,1.47,Low,Aging Population,569935,3005,Urban,Good Schools
2019-04-27,Virginia,173807,112796,Limited,3.65,Strong,0.53,High,Aging Population,627776,3719,Urban,Good Schools
2011-09-11,Nebraska,130576,166734,Abundant,4.79,Weak,1.81,Moderate,Aging Population,467288,1101,Suburban,Transport
2014-08-25,Washington,170346,190506,Limited,4.58,Moderate,0.69,High,Millennial Buyers,738552,1397,Urban,Good Schools
2019-11-03,Delaware,151001,126066,Limited,5.06,Moderate,0.88,High,Aging Population,447858,3831,Suburban,Transport
2015-05-12,Alaska,111538,102227,Abundant,3.9,Strong,0.75,Moderate,Aging Population,201975,1285,Suburban,Transport
2013-05-06,Minnesota,92898,180054,Abundant,5.74,Strong,1.84,High,Millennial Buyers,493744,1241,Suburban,Transport
2015-09-05,Michigan,189282,154914,Limited,3.91,Strong,1.98,Moderate,Aging Population,215102,2822,Urban,Good Schools
2019-05-04,Florida,125570,163352,Limited,5.97,Moderate,1.68,Low,Aging Population,228957,3643,Suburban,Transport
2012-05-19,Montana,111930,152149,Abundant,5.8,Strong,0.77,Moderate,Aging Population,431734,2350,Urban,Good Schools
2017-06-11,Louisiana,174260,195488,Abundant,5.03,Moderate,1.71,Moderate,Millennial Buyers,494211,2614,Urban,Good Schools
2012-11-08,Nebraska,83413,121680,Limited,5.25,Weak,1.68,Moderate,Millennial Buyers,683151,3567,Suburban,Transport
2013-09-23,Idaho,196848,104996,Abundant,4.95,Moderate,1.8,High,Aging Population,500544,1679,Suburban,Transport
2010-12-23,New York,104151,144505,Abundant,4.27,Moderate,1.41,High,Millennial Buyers,1154375,1863,Suburban,Transport
2013-03-08,Delaware,126560,112033,Limited,5.61,Moderate,1.48,Moderate,Aging Population,612607,2078,Suburban,Transport
2017-07-28,South Dakota,77697,133047,Abundant,4.44,Weak,1.93,Moderate,Aging Population,695351,3592,Suburban,Transport
2018-11-27,Arkansas,52087,115441,Abundant,5.81,Moderate,1.38,Low,Millennial Buyers,442851,3749,Urban,Good Schools
2013-12-09,Wyoming,79092,176138,Abundant,4.93,Moderate,1.85,Low,Aging Population,766297,3710,Urban,Good Schools
2019-11-13,Texas,169074,179231,Limited,3.09,Weak,0.94,Low,Millennial Buyers,449921,3765,Urban,Good Schools
2023-07-12,Montana,103494,143359,Limited,4.74,Strong,1.09,Low,Aging Population,580297,1964,Urban,Good Schools
2022-07-30,Kentucky,132657,192984,Limited,4.26,Weak,1.14,High,Aging Population,608275,1016,Urban,Good Schools
2019-12-19,New Jersey,112426,173586,Abundant,3.53,Strong,1.08,High,Aging Population,541676,1487,Suburban,Transport
2013-06-07,Utah,165088,159984,Abundant,4.13,Moderate,1.44,High,Millennial Buyers,239494,2762,Suburban,Transport
2019-03-20,Hawaii,148837,135291,Limited,4.68,Moderate,0.84,Moderate,Millennial Buyers,526258,2091,Suburban,Transport
2010-11-29,Alabama,51698,174355,Limited,4.51,Moderate,1.69,Low,Millennial Buyers,446791,1029,Urban,Good Schools
2020-02-12,Connecticut,129740,117046,Abundant,5.93,Strong,0.86,Moderate,Aging Population,447748,3397,Urban,Good Schools
2019-10-09,Pennsylvania,198520,108695,Abundant,3.84,Moderate,1.41,High,Millennial Buyers,526198,2718,Suburban,Transport
2017-06-21,Kentucky,87164,105023,Abundant,3.02,Strong,1.63,Moderate,Millennial Buyers,489367,3843,Suburban,Transport
2020-01-16,Indiana,90961,104565,Limited,3.91,Weak,1.24,Low,Aging Population,259780,2884,Urban,Good Schools
2014-06-19,Texas,176320,127233,Limited,5.14,Moderate,0.63,Low,Aging Population,461540,2642,Urban,Good Schools
